age;name;positionFirst;positionSecond;potential;salary;skillBlock;skillPass;skillPhysique;skillRebound;skillShotExterior;skillShotFree;skillShotInterior;skillSteal;team;yearsContract;yearsExperience
21;Sarid Bhullar;5;0;7;0;81;40;79;81;42;47;40;79;0;0;0
28;Jerry Farmar;1;0;6;0;40;77;84;42;79;83;82;65;0;0;1
26;John Crawford;1;2;7;0;40;74;93;50;77;81;71;65;0;0;1
26;Vicente Faverani;5;0;6;0;80;45;78;74;58;62;81;65;0;0;1
33;Saul Dalembert;5;0;4;0;85;45;77;85;40;70;82;57;0;0;1
24;Timon Thompkins;4;0;6;0;70;40;74;72;63;66;85;63;0;0;1
27;Hakeem Thabeet;5;0;5;0;98;41;69;72;40;59;78;73;0;0;1
25;Jonathan Flynn;1;0;6;0;40;76;92;40;75;79;70;57;0;0;1
28;Andrew Blatche;5;4;7;0;62;53;79;70;48;67;83;67;0;0;1
23;Chubaka Maduabum;4;0;5;0;40;63;89;40;68;77;82;69;0;0;1
22;Danis Bertans;3;0;7;0;40;63;89;40;68;77;82;69;0;0;1
24;Taylor Honeycutt;3;0;5;0;58;44;85;56;72;70;74;67;0;0;1
25;Morris Beasley;3;4;7;520000;50;54;74;72;69;71;72;56;MIA;1;1
